Attackers, Knights, Siege Engine, Defenders, Fortifications, Win rate, Cost per unit %
1, 0, 0, 1, 0, 41.44, 1.41
1, 0, 0, 1, 1, 31.15, 2.21
1, 0, 1, 1, 0, 56.04, 0.78
1, 0, 1, 1, 1, 43.99, 1.27
1, 0, 2, 1, 0, 56.34, 0.77
1, 0, 2, 1, 1, 43.67, 1.29
1, 1, 0, 1, 0, 58.2, 0.72
1, 1, 0, 1, 1, 43.74, 1.29
1, 1, 1, 1, 0, 68.73, 0.45
1, 1, 1, 1, 1, 56.42, 0.77
1, 2, 0, 1, 0, 71.96, 0.39
1, 2, 0, 1, 1, 56.23, 0.78
2, 0, 0, 1, 0, 57.84, 0.73
2, 0, 0, 1, 1, 43.37, 1.31
2, 0, 0, 2, 0, 39.04, 1.56
2, 0, 0, 2, 1, 26.57, 2.76
2, 0, 1, 1, 0, 68.09, 0.47
2, 0, 1, 1, 1, 53.14, 0.88
2, 0, 1, 2, 0, 53.85, 0.86
2, 0, 1, 2, 1, 34.42, 1.91
2, 0, 2, 1, 0, 76.5, 0.31
2, 0, 2, 1, 1, 60.26, 0.66
2, 0, 2, 2, 0, 65.67, 0.52
2, 0, 2, 2, 1, 41.62, 1.4
2, 1, 0, 1, 0, 74.76, 0.34
2, 1, 0, 1, 1, 55.88, 0.79
2, 1, 0, 2, 0, 50.04, 1.0
2, 1, 0, 2, 1, 32.84, 2.05
2, 1, 1, 1, 0, 81.17, 0.23
2, 1, 1, 1, 1, 65.37, 0.53
2, 1, 1, 2, 0, 70.99, 0.41
2, 1, 1, 2, 1, 41.53, 1.41
2, 2, 0, 1, 0, 86.18, 0.16
2, 2, 0, 1, 1, 68.21, 0.47
2, 2, 0, 2, 0, 58.32, 0.71
2, 2, 0, 2, 1, 40.72, 1.46
3, 0, 0, 1, 0, 65.9, 0.52
3, 0, 0, 1, 1, 49.44, 1.02
3, 0, 0, 2, 0, 53.73, 0.86
3, 0, 0, 2, 1, 38.16, 1.62
3, 0, 1, 1, 0, 74.43, 0.34
3, 0, 1, 1, 1, 57.04, 0.75
3, 0, 1, 2, 0, 62.65, 0.6
3, 0, 1, 2, 1, 45.04, 1.22
3, 0, 2, 1, 0, 80.93, 0.24
3, 0, 2, 1, 1, 63.91, 0.56
3, 0, 2, 2, 0, 70.28, 0.42
3, 0, 2, 2, 1, 51.29, 0.95
3, 1, 0, 1, 0, 82.53, 0.21
3, 1, 0, 1, 1, 61.88, 0.62
3, 1, 0, 2, 0, 66.33, 0.51
3, 1, 0, 2, 1, 44.9, 1.23
3, 1, 1, 1, 0, 86.95, 0.15
3, 1, 1, 1, 1, 69.97, 0.43
3, 1, 1, 2, 0, 71.88, 0.39
3, 1, 1, 2, 1, 53.03, 0.89
3, 2, 0, 1, 0, 92.19, 0.08
3, 2, 0, 1, 1, 74.32, 0.35
3, 2, 0, 2, 0, 74.02, 0.35
3, 2, 0, 2, 1, 53.5, 0.87
